number,PF,dedupPF,divisor
116,"[2, 2, 29]","[2, 29]","[2, 4, 29, 58]"
117,"[3, 3, 13]","[3, 13]","[3, 9, 13, 39]"
118,"[2, 59]","[2, 59]","[2, 59]"
119,"[7, 17]","[7, 17]","[7, 17]"
120,"[2, 2, 2, 3, 5]","[2, 3, 5]","[2, 3, 4, 5, 6, 8, 10, 12, 15, 20, 24, 30, 40, 60]"
121,"[11, 11]",[11],[11]
122,"[2, 61]","[2, 61]","[2, 61]"
123,"[3, 41]","[3, 41]","[3, 41]"
124,"[2, 2, 31]","[2, 31]","[2, 4, 31, 62]"
125,"[5, 5, 5]",[5],"[5, 25]"
126,"[2, 3, 3, 7]","[2, 3, 7]","[2, 3, 6, 7, 9, 14, 18, 21, 42, 63]"
127,[127],[127],[]
128,"[2, 2, 2, 2, 2, 2, 2]",[2],"[2, 4, 8, 16, 32, 64]"
129,"[3, 43]","[3, 43]","[3, 43]"
130,"[2, 5, 13]","[2, 5, 13]","[2, 5, 10, 13, 26, 65]"
131,[131],[131],[]
132,"[2, 2, 3, 11]","[2, 3, 11]","[2, 3, 4, 6, 11, 12, 22, 33, 44, 66]"
133,"[7, 19]","[7, 19]","[7, 19]"
134,"[2, 67]","[2, 67]","[2, 67]"
135,"[3, 3, 3, 5]","[3, 5]","[3, 5, 9, 15, 27, 45]"
136,"[2, 2, 2, 17]","[2, 17]","[2, 4, 8, 17, 34, 68]"
137,[137],[137],[]
138,"[2, 3, 23]","[2, 3, 23]","[2, 3, 6, 23, 46, 69]"
139,[139],[139],[]
140,"[2, 2, 5, 7]","[2, 5, 7]","[2, 4, 5, 7, 10, 14, 20, 28, 35, 70]"
141,"[3, 47]","[3, 47]","[3, 47]"
142,"[2, 71]","[2, 71]","[2, 71]"
143,"[11, 13]","[11, 13]","[11, 13]"
144,"[2, 2, 2, 2, 3, 3]","[2, 3]","[2, 3, 4, 6, 8, 9, 12, 16, 18, 24, 36, 48, 72]"
145,"[5, 29]","[5, 29]","[5, 29]"
146,"[2, 73]","[2, 73]","[2, 73]"
147,"[3, 7, 7]","[3, 7]","[3, 7, 21, 49]"
148,"[2, 2, 37]","[2, 37]","[2, 4, 37, 74]"
149,[149],[149],[]
150,"[2, 3, 5, 5]","[2, 3, 5]","[2, 3, 5, 6, 10, 15, 25, 30, 50, 75]"
151,[151],[151],[]
152,"[2, 2, 2, 19]","[2, 19]","[2, 4, 8, 19, 38, 76]"
153,"[3, 3, 17]","[3, 17]","[3, 9, 17, 51]"
154,"[2, 7, 11]","[2, 7, 11]","[2, 7, 11, 14, 22, 77]"
155,"[5, 31]","[5, 31]","[5, 31]"
156,"[2, 2, 3, 13]","[2, 3, 13]","[2, 3, 4, 6, 12, 13, 26, 39, 52, 78]"
157,[157],[157],[]
158,"[2, 79]","[2, 79]","[2, 79]"
159,"[3, 53]","[3, 53]","[3, 53]"
160,"[2, 2, 2, 2, 2, 5]","[2, 5]","[2, 4, 5, 8, 10, 16, 20, 32, 40, 80]"
161,"[7, 23]","[7, 23]","[7, 23]"
162,"[2, 3, 3, 3, 3]","[2, 3]","[2, 3, 6, 9, 18, 27, 54, 81]"
163,[163],[163],[]
164,"[2, 2, 41]","[2, 41]","[2, 4, 41, 82]"
165,"[3, 5, 11]","[3, 5, 11]","[3, 5, 11, 15, 33, 55]"
166,"[2, 83]","[2, 83]","[2, 83]"
167,[167],[167],[]
168,"[2, 2, 2, 3, 7]","[2, 3, 7]","[2, 3, 4, 6, 7, 8, 12, 14, 21, 24, 28, 42, 56, 84]"
169,"[13, 13]",[13],[13]
170,"[2, 5, 17]","[2, 5, 17]","[2, 5, 10, 17, 34, 85]"
171,"[3, 3, 19]","[3, 19]","[3, 9, 19, 57]"
172,"[2, 2, 43]","[2, 43]","[2, 4, 43, 86]"
173,[173],[173],[]
